工作包,小计,工作项,人天,交付物/规模依据
需求与总体设计,10,需求分析与用例建模,3,需求规格、用例图与业务流程，22 篇设计文档
需求与总体设计,10,系统架构与分层设计,3,六层架构（智能体/模型/治理/编排/服务/前端）与接口契约
需求与总体设计,10,数据模型与接口契约,2,会话/任务/事件/成本四类表结构，OpenAPI 快照
需求与总体设计,10,技术选型与可行性验证,2,FastAPI + React + SQLite 选型对比与最小原型
智能体与模型接入,23,九大智能体实现,6,"需求分析/品类/风格/提示词/合规/审查等 9 个智能体，1,202 行"
智能体与模型接入,23,七家模型接入适配,6,"OpenAI/DeepSeek/Anthropic/Seedream/Qwen/FLUX/Mock，1,434 行"
智能体与模型接入,23,能力路由与降级链,3,按文生图/图生图/文本/视觉四类能力路由，三级降级
智能体与模型接入,23,提示词工程与调优,4,7 套系统提示词模板（205 行）与迭代评测
智能体与模型接入,23,智能体记忆与工具链,2,JSONL 长期记忆、租户隔离召回、工具调用编排
智能体与模型接入,23,双模式联调与验证,2,Mock 全链路确定性回归 + 真实 API 灰度验证
编排与治理层,20,模板语言与求值引擎,4,YAML 模板 DSL + 安全表达式求值，7 套内置模板
编排与治理层,20,事件溯源与断点续跑,4,"SQLite 事件表 + 检查点，任意步骤恢复，2,130 行"
编排与治理层,20,人工审批与时限矩阵,4,自动/人工双模式、审批时限矩阵、超时升级
编排与治理层,20,批量调度与并发治理,4,批量任务队列、并发上限、成本闸门与取消保护
编排与治理层,20,熔断限流与成本审计,4,"熔断/令牌桶/重试/超时四件套 + 成本计量与审计日志，1,618 行"
服务端与前端应用,29,服务接口与实时推送,6,"REST 25+ 端点 + WebSocket 事件流，1,796 行"
服务端与前端应用,29,前端工作台十二页,9,"会话、批量、模板、看板等 12 个页面，2,753 行"
服务端与前端应用,29,组件库与设计系统,5,"玻璃拟态设计语言与 12 个复用组件，2,941 行样式与逻辑"
服务端与前端应用,29,密钥与模型设置管理,4,多厂商密钥、自定义端点与模型目录、校验与脱敏
服务端与前端应用,29,看板报表与批量任务,3,成本/成功率/审批统计看板与批量调度界面
服务端与前端应用,29,一键启动与部署脚本,2,start.py 一键启动、Docker 与 CI 流水线
测试与交付,20,单元与集成测试,8,"后端 608 例 / 8,388 行，覆盖率 83%"
测试与交付,20,端到端冒烟与回归,4,7 场景 E2E 冒烟脚本 + 真实 API 回归套件
测试与交付,20,性能与资源治理测试,3,并发、限流、检查点与资源回收专项测试
测试与交付,20,持续集成与容器交付,2,GitHub Actions 三作业流水线 + Docker 镜像
测试与交付,20,文档与运维手册,3,"22 篇设计/模块文档（3,544 行）与交接指南"
合计,102,,,
